,Puissance[W]
2021-06-01 00:00:00,7
2021-06-01 00:20:00,7
2021-06-01 00:40:00,7
2021-06-01 01:00:00,7
2021-06-01 01:20:00,7
2021-06-01 01:40:00,7
2021-06-01 02:00:00,7
2021-06-01 02:20:00,7
2021-06-01 02:40:00,7
2021-06-01 03:00:00,7
2021-06-01 03:20:00,7
2021-06-01 03:40:00,7
2021-06-01 04:00:00,7
2021-06-01 04:20:00,7
2021-06-01 04:40:00,7
2021-06-01 05:00:00,7
2021-06-01 05:20:00,7
2021-06-01 05:40:00,7
2021-06-01 06:00:00,7
2021-06-01 06:20:00,7
2021-06-01 06:40:00,10
2021-06-01 07:00:00,14
2021-06-01 07:20:00,14
2021-06-01 07:40:00,7
2021-06-01 08:00:00,10
2021-06-01 08:20:00,7
2021-06-01 08:40:00,14
2021-06-01 09:00:00,21
2021-06-01 09:20:00,24
2021-06-01 09:40:00,34
2021-06-01 10:00:00,348
2021-06-01 10:20:00,1426
2021-06-01 10:40:00,1425
2021-06-01 11:00:00,590
2021-06-01 11:20:00,1668
2021-06-01 11:40:00,933
2021-06-01 12:00:00,1085
2021-06-01 12:20:00,1554
2021-06-01 12:40:00,2154
2021-06-01 13:00:00,7046
2021-06-01 13:20:00,7334
2021-06-01 13:40:00,2693
2021-06-01 14:00:00,49
2021-06-01 14:20:00,39
2021-06-01 14:40:00,85
2021-06-01 15:00:00,119
2021-06-01 15:20:00,105
2021-06-01 15:40:00,141
2021-06-01 16:00:00,641
2021-06-01 16:20:00,2196
2021-06-01 16:40:00,2567
2021-06-01 17:00:00,2101
2021-06-01 17:20:00,1502
2021-06-01 17:40:00,2705
2021-06-01 18:00:00,5523
2021-06-01 18:20:00,1117
2021-06-01 18:40:00,1579
2021-06-01 19:00:00,548
2021-06-01 19:20:00,2301
2021-06-01 19:40:00,1557
2021-06-01 20:00:00,1279
2021-06-01 20:20:00,410
2021-06-01 20:40:00,425
2021-06-01 21:00:00,386
2021-06-01 21:20:00,421
2021-06-01 21:40:00,426
2021-06-01 22:00:00,351
2021-06-01 22:20:00,35
2021-06-01 22:40:00,389
2021-06-01 23:00:00,183
2021-06-01 23:20:00,348
2021-06-01 23:40:00,160
2021-06-02 00:00:00,384
2021-06-02 00:20:00,130
2021-06-02 00:40:00,435
2021-06-02 01:00:00,182
2021-06-02 01:20:00,343
2021-06-02 01:40:00,204
2021-06-02 02:00:00,355
2021-06-02 02:20:00,290
2021-06-02 02:40:00,262
2021-06-02 03:00:00,327
2021-06-02 03:20:00,204
2021-06-02 03:40:00,429
2021-06-02 04:00:00,148
2021-06-02 04:20:00,523
2021-06-02 04:40:00,960
2021-06-02 05:00:00,2719
2021-06-02 05:20:00,2785
2021-06-02 05:40:00,1728
2021-06-02 06:00:00,7173
2021-06-02 06:20:00,1483
2021-06-02 06:40:00,1133
2021-06-02 07:00:00,339
2021-06-02 07:20:00,156
2021-06-02 07:40:00,152
2021-06-02 08:00:00,81
2021-06-02 08:20:00,112
2021-06-02 08:40:00,102
2021-06-02 09:00:00,101
2021-06-02 09:20:00,37
2021-06-02 09:40:00,46
2021-06-02 10:00:00,96
2021-06-02 10:20:00,87
2021-06-02 10:40:00,85
2021-06-02 11:00:00,69
2021-06-02 11:20:00,107
2021-06-02 11:40:00,106
2021-06-02 12:00:00,79
2021-06-02 12:20:00,60
2021-06-02 12:40:00,78
2021-06-02 13:00:00,85
2021-06-02 13:20:00,53
2021-06-02 13:40:00,67
2021-06-02 14:00:00,85
2021-06-02 14:20:00,77
2021-06-02 14:40:00,62
2021-06-02 15:00:00,66
2021-06-02 15:20:00,93
2021-06-02 15:40:00,133
2021-06-02 16:00:00,724
2021-06-02 16:20:00,2609
2021-06-02 16:40:00,2415
2021-06-02 17:00:00,1688
2021-06-02 17:20:00,7596
2021-06-02 17:40:00,1842
2021-06-02 18:00:00,661
2021-06-02 18:20:00,903
2021-06-02 18:40:00,206
2021-06-02 19:00:00,98
2021-06-02 19:20:00,120
2021-06-02 19:40:00,127
2021-06-02 20:00:00,128
2021-06-02 20:20:00,826
2021-06-02 20:40:00,392
2021-06-02 21:00:00,431
2021-06-02 21:20:00,430
2021-06-02 21:40:00,430
2021-06-02 22:00:00,410
2021-06-02 22:20:00,440
2021-06-02 22:40:00,441
2021-06-02 23:00:00,438
2021-06-02 23:20:00,407
2021-06-02 23:40:00,424
2021-06-03 00:00:00,435
2021-06-03 00:20:00,432
2021-06-03 00:40:00,437
2021-06-03 01:00:00,177
2021-06-03 01:20:00,432
2021-06-03 01:40:00,438
2021-06-03 02:00:00,434
2021-06-03 02:20:00,425
2021-06-03 02:40:00,396
2021-06-03 03:00:00,429
2021-06-03 03:20:00,272
2021-06-03 03:40:00,365
