,irradiation[W/m2]
2021-06-01 00:00:00,0.0
2021-06-01 00:20:00,0.0
2021-06-01 00:40:00,0.0
2021-06-01 01:00:00,0.0
2021-06-01 01:20:00,0.0
2021-06-01 01:40:00,0.0
2021-06-01 02:00:00,0.0
2021-06-01 02:20:00,0.0
2021-06-01 02:40:00,0.0
2021-06-01 03:00:00,0.0
2021-06-01 03:20:00,0.0
2021-06-01 03:40:00,0.0
2021-06-01 04:00:00,0.0
2021-06-01 04:20:00,0.0
2021-06-01 04:40:00,0.0
2021-06-01 05:00:00,0.0
2021-06-01 05:20:00,0.0
2021-06-01 05:40:00,0.0
2021-06-01 06:00:00,0.0
2021-06-01 06:20:00,0.0
2021-06-01 06:40:00,0.0
2021-06-01 07:00:00,15.9
2021-06-01 07:20:00,14.6
2021-06-01 07:40:00,37.2
2021-06-01 08:00:00,31.9
2021-06-01 08:20:00,33.2
2021-06-01 08:40:00,31.9
2021-06-01 09:00:00,30.6
2021-06-01 09:20:00,91.8
2021-06-01 09:40:00,179.7
2021-06-01 10:00:00,157.1
2021-06-01 10:20:00,348.8
2021-06-01 10:40:00,336.8
2021-06-01 11:00:00,876.1
2021-06-01 11:20:00,288.9
2021-06-01 11:40:00,221.0
2021-06-01 12:00:00,355.5
2021-06-01 12:20:00,218.3
2021-06-01 12:40:00,319.5
2021-06-01 13:00:00,306.2
2021-06-01 13:20:00,347.5
2021-06-01 13:40:00,371.5
2021-06-01 14:00:00,1185.0
2021-06-01 14:20:00,1086.5
2021-06-01 14:40:00,948.0
2021-06-01 15:00:00,1153.1
2021-06-01 15:20:00,778.9
2021-06-01 15:40:00,1145.1
2021-06-01 16:00:00,942.7
2021-06-01 16:20:00,331.5
2021-06-01 16:40:00,938.7
2021-06-01 17:00:00,828.2
2021-06-01 17:20:00,766.9
2021-06-01 17:40:00,625.8
2021-06-01 18:00:00,649.8
2021-06-01 18:20:00,198.4
2021-06-01 18:40:00,47.9
2021-06-01 19:00:00,0.0
2021-06-01 19:20:00,0.0
2021-06-01 19:40:00,1.3
2021-06-01 20:00:00,35.9
2021-06-01 20:20:00,35.9
2021-06-01 20:40:00,4.0
2021-06-01 21:00:00,0.0
2021-06-01 21:20:00,0.0
2021-06-01 21:40:00,0.0
2021-06-01 22:00:00,0.0
2021-06-01 22:20:00,0.0
2021-06-01 22:40:00,0.0
2021-06-01 23:00:00,0.0
2021-06-01 23:20:00,0.0
2021-06-01 23:40:00,0.0
2021-06-02 00:00:00,0.0
2021-06-02 00:20:00,0.0
2021-06-02 00:40:00,0.0
2021-06-02 01:00:00,0.0
2021-06-02 01:20:00,0.0
2021-06-02 01:40:00,0.0
2021-06-02 02:00:00,0.0
2021-06-02 02:20:00,0.0
2021-06-02 02:40:00,0.0
2021-06-02 03:00:00,0.0
2021-06-02 03:20:00,0.0
2021-06-02 03:40:00,0.0
2021-06-02 04:00:00,0.0
2021-06-02 04:20:00,0.0
2021-06-02 04:40:00,0.0
2021-06-02 05:00:00,0.0
2021-06-02 05:20:00,0.0
2021-06-02 05:40:00,0.0
2021-06-02 06:00:00,0.0
2021-06-02 06:20:00,0.0
2021-06-02 06:40:00,2.6
2021-06-02 07:00:00,11.9
2021-06-02 07:20:00,22.6
2021-06-02 07:40:00,46.6
2021-06-02 08:00:00,79.9
2021-06-02 08:20:00,102.5
2021-06-02 08:40:00,223.7
2021-06-02 09:00:00,145.1
2021-06-02 09:20:00,106.5
2021-06-02 09:40:00,253.0
2021-06-02 10:00:00,906.8
2021-06-02 10:20:00,447.4
2021-06-02 10:40:00,557.9
2021-06-02 11:00:00,882.8
2021-06-02 11:20:00,279.6
2021-06-02 11:40:00,311.5
2021-06-02 12:00:00,190.4
2021-06-02 12:20:00,348.8
2021-06-02 12:40:00,1165.1
2021-06-02 13:00:00,1161.1
2021-06-02 13:20:00,308.9
2021-06-02 13:40:00,408.7
2021-06-02 14:00:00,175.7
2021-06-02 14:20:00,122.5
2021-06-02 14:40:00,39.9
2021-06-02 15:00:00,11.9
2021-06-02 15:20:00,129.1
2021-06-02 15:40:00,251.6
2021-06-02 16:00:00,211.7
2021-06-02 16:20:00,408.7
2021-06-02 16:40:00,335.5
2021-06-02 17:00:00,383.4
2021-06-02 17:20:00,89.2
2021-06-02 17:40:00,41.2
